Installation,UK ETS Account holder name,Broad sector,Subsector,2021,2022,2023
Afan Way Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas," 11,704 ",10557," 7,056 "
Baglan Bay Power Station,Not in UK ETS,Power Station,Power - Gas,  ,,  
BARRY POWER STATION,Not in UK ETS,Power Station,Power - Gas,  ,,  
Bartley Power,Bartley Power Limited,Power Station,Reserve power - Gas," 14,494 ",12300," 3,291 "
Brecon Power Station,Velox Power Limited,Power Station,Reserve power - Gas," 9,473 ",9787," 4,542 "
Cadoxton Power Station,Cadoxton Reserve Power Limited,Power Station,Reserve power - Gas," 3,992 ",6751," 3,254 "
Clyne Power Station,Clyne Power Limited,Power Station,Reserve power - Gas," 9,222 ",10274," 5,079 "
Connahs Quay Power Station,Uniper UK Limited,Power Station,Power - Gas," 1,076,178 ",1374027," 783,793 "
Culvery Power Station,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Cynon Power Station,Cynon Power Limited,Power Station,Reserve power - Gas," 4,451 ",7124," 3,894 "
Dafen Power station,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Deeside Power Station,Not in UK ETS,Power Station,Power - Gas,  ,,  
Docks Way Power Station,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Larigan Power Station,Larigan Power Limited,Power Station,Reserve power - Gas," 10,835 ",11485," 9,305 "
"Magnox Ltd, Wylfa",Not in UK ETS,Power Station,Power for decommissioned nuclear,  ,,  
Nevern Power Station,Nevern Power Limited,Power Station,Reserve power - Gas," 9,361 ",10110," 4,527 "
Ogmore Power Station,Ogmore Power Limited,Power Station,Reserve power - Gas," 9,491 ",8953," 3,620 "
Peak Gen Barry,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Peak Gen Llandarcy,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Pembroke Power Station,RWE Generation UK plc,Power Station,Power - Gas," 4,993,364 ",5300997," 3,998,646 "
Rhymney Power - Embedded Reserve Plant,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
Severn Power Limited,Severn Power Limited,Power Station,Power - Gas, -   ,0," 14,509 "
South Cornelly,Not in UK ETS,Power Station,Reserve power - Gas,  ,,  
St Asaph Power Station,St Asaph Power Limited,Power Station,Reserve power - Gas," 5,308 ",7686," 3,589 "
Tonypandy Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas," 9,447 ",7709," 2,713 "
Traston Road Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas," 14,382 ",10986," 6,497 "
Uskmouth Power Plant,SIMEC Uskmouth Power Limited,Power Station,Power - Coal, 4 ,1, -   
